count,end_date,name,start_date
6,2018-02-17,Hannah Gill &amp; The Hours,2018-02-10
6,2018-02-17,Kendrick Lamar,2018-02-10
5,2018-02-17,Anderson East,2018-02-10
5,2018-02-17,NEEDTOBREATHE,2018-02-10
5,2018-02-17,Typhoon,2018-02-10
4,2018-02-17,AHI,2018-02-10
4,2018-02-17,GoGo Penguin,2018-02-10
4,2018-02-17,Haley Heynderickx,2018-02-10
3,2018-02-17,alt-J,2018-02-10
3,2018-02-17,Ben Howard,2018-02-10
3,2018-02-17,Cold War Kids,2018-02-10
3,2018-02-17,Coldplay,2018-02-10
3,2018-02-17,Future Islands,2018-02-10
3,2018-02-17,Hozier,2018-02-10
3,2018-02-17,Otis Redding,2018-02-10
3,2018-02-17,St. Paul &amp; The Broken Bones,2018-02-10
3,2018-02-17,The Rubens,2018-02-10
3,2018-02-17,The Wood Brothers,2018-02-10
2,2018-02-17,Bahamas,2018-02-10
19,2018-02-10,Chance the Rapper,2018-02-03
10,2018-02-10,Anderson East,2018-02-03
4,2018-02-10,NEEDTOBREATHE,2018-02-03
3,2018-02-10,AHI,2018-02-03
3,2018-02-10,Gary Clark Jr.,2018-02-03
3,2018-02-10,Mumford &amp; Sons,2018-02-03
3,2018-02-10,Queen,2018-02-03
2,2018-02-10,Coldplay,2018-02-03
2,2018-02-10,Kanye West,2018-02-03
2,2018-02-10,Kendrick Lamar,2018-02-03
2,2018-02-10,Lake Street Dive,2018-02-03
2,2018-02-10,Sam Smith,2018-02-03
2,2018-02-10,The Black Keys,2018-02-03
2,2018-02-10,The Shins,2018-02-03
2,2018-02-10,Tom Odell,2018-02-03
1,2018-02-10,Alabama Shakes,2018-02-03
1,2018-02-10,Allman Brown,2018-02-03
1,2018-02-10,Aloe Blacc,2018-02-03
1,2018-02-10,alt-J,2018-02-03
1,2018-02-10,Andrew Applepie,2018-02-03
1,2018-02-10,Andrew Duhon,2018-02-03
1,2018-02-10,Awolnation,2018-02-03
1,2018-02-10,Bad Rabbits,2018-02-03
1,2018-02-10,Bahamas,2018-02-03
1,2018-02-10,Ball Park Music,2018-02-03
20,2018-02-03,Gregory Alan Isakov,2018-01-27
19,2018-02-03,AHI,2018-01-27
9,2018-02-03,Anderson East,2018-01-27
8,2018-02-03,Lucy Dacus,2018-01-27
8,2018-02-03,NEEDTOBREATHE,2018-01-27
7,2018-02-03,Lake Street Dive,2018-01-27
5,2018-02-03,Future Islands,2018-01-27
5,2018-02-03,St. Paul &amp; The Broken Bones,2018-01-27
5,2018-02-03,The Districts,2018-01-27
5,2018-02-03,You Won't,2018-01-27
4,2018-02-03,Kaleo,2018-01-27
4,2018-02-03,Maroon 5,2018-01-27
3,2018-02-03,Coldplay,2018-01-27
3,2018-02-03,Eau Claire Memorial Jazz I,2018-01-27
3,2018-02-03,Hozier,2018-01-27
3,2018-02-03,Lewis Del Mar,2018-01-27
3,2018-02-03,Rhye,2018-01-27
3,2018-02-03,The Black Keys,2018-01-27
3,2018-02-03,The Dig,2018-01-27
3,2018-02-03,The National,2018-01-27
3,2018-02-03,The Paper Kites,2018-01-27
3,2018-02-03,Wild Child,2018-01-27
2,2018-02-03,alt-J,2018-01-27
2,2018-02-03,Armand Margjeka,2018-01-27
2,2018-02-03,Avril Lavigne,2018-01-27
34,2018-01-27,NEEDTOBREATHE,2018-01-20
10,2018-01-27,Lucy Dacus,2018-01-20
7,2018-01-27,Anderson East,2018-01-20
6,2018-01-27,Lake Street Dive,2018-01-20
5,2018-01-27,AHI,2018-01-20
5,2018-01-27,alt-J,2018-01-20
5,2018-01-27,Cold War Kids,2018-01-20
5,2018-01-27,The Black Keys,2018-01-20
5,2018-01-27,The Districts,2018-01-20
5,2018-01-27,The Fray,2018-01-20
5,2018-01-27,You Won't,2018-01-20
4,2018-01-27,Gregory Alan Isakov,2018-01-20
4,2018-01-27,Mumford &amp; Sons,2018-01-20
4,2018-01-27,The Lumineers,2018-01-20
4,2018-01-27,The Paper Kites,2018-01-20
3,2018-01-27,Dan Auerbach,2018-01-20
3,2018-01-27,Mimicking Birds,2018-01-20
3,2018-01-27,Of Monsters and Men,2018-01-20
3,2018-01-27,Rhye,2018-01-20
3,2018-01-27,St. Paul &amp; The Broken Bones,2018-01-20
3,2018-01-27,The Shins,2018-01-20
3,2018-01-27,Typhoon,2018-01-20
3,2018-01-27,Wild Child,2018-01-20
2,2018-01-27,Alex Turner,2018-01-20
2,2018-01-27,Awolnation,2018-01-20
29,2018-01-20,Anderson East,2018-01-13
21,2018-01-20,NEEDTOBREATHE,2018-01-13
13,2018-01-20,Frankie Cosmos,2018-01-13
13,2018-01-20,Rhye,2018-01-13
11,2018-01-20,Mimicking Birds,2018-01-13
10,2018-01-20,Typhoon,2018-01-13
9,2018-01-20,Lucy Dacus,2018-01-13
9,2018-01-20,Middle Kids,2018-01-13
9,2018-01-20,Wild Child,2018-01-13
8,2018-01-20,Eau Claire Memorial Jazz I,2018-01-13
7,2018-01-20,Lake Street Dive,2018-01-13
6,2018-01-20,alt-J,2018-01-13
6,2018-01-20,Lewis Del Mar,2018-01-13
6,2018-01-20,Prinze George,2018-01-13
6,2018-01-20,The Black Keys,2018-01-13
5,2018-01-20,Ben Folds,2018-01-13
5,2018-01-20,Kings of Leon,2018-01-13
5,2018-01-20,The Barr Brothers,2018-01-13
5,2018-01-20,The Lumineers,2018-01-13
4,2018-01-20,Ben Howard,2018-01-13
4,2018-01-20,Cold War Kids,2018-01-13
4,2018-01-20,Gary Clark Jr.,2018-01-13
4,2018-01-20,Mumford &amp; Sons,2018-01-13
4,2018-01-20,Otis Redding,2018-01-13
4,2018-01-20,You Won't,2018-01-13
55,2018-01-13,NEEDTOBREATHE,2018-01-06
37,2018-01-13,Eau Claire Memorial Jazz I,2018-01-06
24,2018-01-13,Middle Kids,2018-01-06
13,2018-01-13,Lewis Del Mar,2018-01-06
10,2018-01-13,Greyhounds,2018-01-06
9,2018-01-13,Kat Wright,2018-01-06
9,2018-01-13,Phox,2018-01-06
9,2018-01-13,The Barr Brothers,2018-01-06
8,2018-01-13,Mimicking Birds,2018-01-06
8,2018-01-13,Typhoon,2018-01-06
7,2018-01-13,Anderson East,2018-01-06
7,2018-01-13,Frankie Cosmos,2018-01-06
7,2018-01-13,Rhye,2018-01-06
4,2018-01-13,Andrew Applepie,2018-01-06
4,2018-01-13,Wild Child,2018-01-06
3,2018-01-13,Ben Folds,2018-01-06
3,2018-01-13,Broken Bells,2018-01-06
3,2018-01-13,Lake Street Dive,2018-01-06
3,2018-01-13,Mondo Cozmo,2018-01-06
3,2018-01-13,Otis Redding,2018-01-06
2,2018-01-13,alt-J,2018-01-06
2,2018-01-13,Ben Howard,2018-01-06
2,2018-01-13,Dan Auerbach,2018-01-06
2,2018-01-13,Iron &amp; Wine,2018-01-06
2,2018-01-13,JJ Grey &amp; Mofro,2018-01-06
